Room ID,Room Description,Item Code,Item Description,Part of Union,Qty New,Unit Cost,Group,ERM Cat,Updates for OBC ,
ADWA008,En-Suite,BAS106,"BASIN, medium, general pattern, vitreous china, 1 tap right hand hole, no overflow, bottom outlet, 500W 400D.",BAS-03,1,50,1,1,,
ADWA008,En-Suite,DIS013,"DISPENSER, paper towel, wall mounted",BAS-03,1,15,2,2.3,,
ADWA008,En-Suite,DIS030,"DISPENSER, soap, disposable single cartridge, lever action, wall mounted",BAS-03,1,15,2,2.3,,
ADWA008,En-Suite,HOL004,"HOLDER, sack, with lid foot operated, small, freestanding",BAS-03,1,100,3,3,,
ADWA008,En-Suite,TAP289,"TAP, monobloc, pillar mixer, integral thermostatic, short lever.",BAS-03,1,250,1,1,,
ADWA008,En-Suite,WAS100,"WASTE, unslotted flush-grated, metal, 1.1/4 in. .",BAS-03,1,45,1,1,,
ADWA008,En-Suite,WAS107,"TRAP, bottle, 1.1/4 in, plastic resealing.",BAS-03,1,35,1,1,,
ADWA008,En-Suite,BAC002,"BACKREST, WC/toilet, padded, wall mounted",WCA-02,1,95,1,1,,
ADWA008,En-Suite,CIS005,"CISTERN WC/toilet, concealed, reversible. To suit WC",WCA-02,1,45,1,1,,
ADWA008,En-Suite,WCH005,"WC/toilet pan with seat, 700 mm projection, hospital pattern, rimless pan, vitreous china.",WCA-02,1,250,1,1,,
ADWA008,En-Suite,BIN9000,"BIN, sanitary towel disposal",,1,100,3,3.1,,
ADWA008,En-Suite,CAL005,CEILING PULL CORD patient/staff call,,1,0,1,1,,
ADWA008,En-Suite,CAL035,"LAMP repeat call (patient/staff or staff emergency or Cardiac call), ceiling mounted",,1,0,1,1,,
ADWA008,En-Suite,CAL9012,"RESET UNIT with repeat lamp, patient/staff call, wall/trunking mounted",,1,,1,1,,
ADWA008,En-Suite,DIS015,"DISPENSER, toilet paper, dispense individual sheets, wall mounted",,1,20,2,2.3,,
ADWA008,En-Suite,HOO019,"HOOK, single, small, wall mounted",,1,8,1,1,,
ADWA008,En-Suite,MIR001,"MIRROR, wall mounted, 650H 300W",,1,90,1,1,,
ADWA008,En-Suite,RAI048,"RAIL, grab, vertical, wall mounted, 600mm",,4,0,1,1,,
ADWA008,En-Suite,RAI161,"RAIL, grab, horizontal, wall or door mounted, 600mm",,2,0,1,1,,
ADWA008,En-Suite,RAI172,"RAIL, grab, hinged, wall mounted, 650mm",,1,85,1,1,,
AI008,CH Amb,CAL005,CEILING PULL CORD patient/staff call,,1,0,1,1,,
AI008,CH Amb,CAL035,"LAMP repeat call (patient/staff or staff emergency or Cardiac call), ceiling mounted",,1,0,1,1,,
AI008,CH Amb,CAL9012,"RESET UNIT with repeat lamp, patient/staff call, wall/trunking mounted",,1,,1,1,,
AI008,CH Amb,HOO019,"HOOK, single, small, wall mounted",,2,8,1,1,,
AI008,CH Amb,MIR026,"MIRROR, unbreakable, wall mounted, 1300H 500W",,1,100,1,1,,
AI008,CH Amb,SEA004,"SEAT, bench, wall mounted, 480H 1300W 400D",,1,200,1,1,,
AI008,CH Amb,STF200,"STORAGE UNIT, mid, shelf, 150H 300W 150D",,1,45,1,1,,
AI009,CH Amb,LIG073,"ILLUMINATED SIGN, 'Room in use'",,1,264,1,1,code added,
AI012,CH Ass,CAL005,CEILING PULL CORD patient/staff call,,1,0,1,1,name change,
AI012,CH Ass,CAL035,"LAMP repeat call (patient/staff or staff emergency or Cardiac call), ceiling mounted",,1,0,1,1,,
AI012,CH Ass,CAL9012,"RESET UNIT with repeat lamp, patient/staff call, wall/trunking mounted",,1,,1,1,,
AI012,CH Ass,HOO019,"HOOK, single, small, wall mounted",,2,8,1,1,,
AI012,CH Ass,MIR001,"MIRROR, wall mounted, 650H 300W",,1,90,1,1,,
AI012,CH Ass,RAI081,"RAIL, grab, horizontal, wall mounted, 900mm",,1,0,1,1,,
AI012,CH Ass,RAI175,"RAIL, grab, hinged, wall mounted, 750mm",,1,0,1,1,,
AI012,CH Ass,SEA004,"SEAT, bench, wall mounted, 480H 1300W 400D",,1,200,1,1,code change,
AI012,CH Ass,LIG073,"ILLUMINATED SIGN, 'Room in use'",,1,264,1,1,code added,
AI033,CT Scan,BAS101,"BASIN, medium, hospital pattern, vitreous china, no tap holes, no overflow, integral back outlet, 500W 400D.",BAS-01,1,67,1,1,,
AI033,CT Scan,DIS013,"DISPENSER, paper towel, wall mounted",BAS-01,1,15,2,2.3,,
AI033,CT Scan,DIS030,"DISPENSER, soap, disposable single cartridge, lever action, wall mounted",BAS-01,1,15,2,2.3,,
AI033,CT Scan,HOL004,"HOLDER, sack, with lid foot operated, small, freestanding",BAS-01,1,100,3,3,,
AI033,CT Scan,OUT001,"OUTLET cable fused, wall mounted",BAS-01,1,0,1,1,,
AI033,CT Scan,TAP826,"TAP bib, single lever, hospital pattern, 2x 1/2 in. inlets, integral thermostatic combination mixer, single flow, fixed horizontal nozzle. Sequential operation.",BAS-01,1,,1,1,,
AI033,CT Scan,WAS107,"TRAP, bottle, 1.1/4 in, plastic resealing.",BAS-01,1,35,1,1,,
AI033,CT Scan,BRA9013,"BRACKET, for warming cabinet, wall mounted",CAB-03,1,,2,2.3,,
AI033,CT Scan,CAB034,"CABINET warming, contrast media, stainless steel, wall mounted",CAB-03,1,2100,2,2.3,,
AI033,CT Scan,OUT052,"CONNECTION UNIT, switched, 13 amp",CAB-03,1,190,1,1,,
AI033,CT Scan,LIG074,"ILLUMINATED SIGN ""DO NOT ENTER""",LIG-03,2,264,1,1,,
AI033,CT Scan,OUT056,"CONNECTION UNIT, unswitched, 13 amp",LIG-03,2,190,1,1,,
AI033,CT Scan,BRA9006,"BRACKET, Pat slide, wall mounted",,1,30,1,2.3,,
AI033,CT Scan,CAL035,"LAMP repeat call (patient/staff or staff emergency or Cardiac call), ceiling mounted",,1,0,1,1,,
AI033,CT Scan,CAL9007,"PUSH BUTTON staff emergency call, reset and integral/adjacent indicator lamp, wall/trunking mounted",,1,0,1,1,,
AI033,CT Scan,CAL9008,"PUSH BUTTON staff crash call, reset and integral/adjacent indicator lamp, wall/trunking mounted",,1,170,1,1,,
AI033,CT Scan,CHA317,"CHAIR, upright, upholstered, stacking, wipeable",,1,50,3,3,,
AI033,CT Scan,CLO004,"CLOCK battery with second sweep hand, wall mounted",,1,20,2,2.3,,
AI033,CT Scan,HOL006,"HOLDER, sack, with lid foot operated, medium, freestanding, 875H 430W 385D",,2,120,3,3,,
AI033,CT Scan,IMG9025,"CT, 128 slice, GANTRY",,1,800000,2,2.1,,
AI033,CT Scan,IMG9025A,"PATIENT TABLE, floor mounted",,1,0,2,2.1,,
AI033,CT Scan,IMG9025B,"CABINET, SERVER floor mounted",,1,0,2,2.1,,
AI033,CT Scan,IMG9025D,"WATER FILTER UNIT, floor mounted",,1,0,2,2.1,,
AI033,CT Scan,OUT131,"SOCKET outlet data/voice, double.",,2,0,1,1,,
AI033,CT Scan,OUT9010,"SOCKET outlet switched 13amp twin, wall/trunking mounted",,6,,1,1,,
AI033,CT Scan,OUT9453,"OUTLET 4 kPa compressed air medical, wall/trunking mounted",,1,,1,1,,
AI033,CT Scan,OUT9470,"OUTLET oxygen medical, wall/trunking mounted",,1,,1,1,,
AI033,CT Scan,OUT9475,"OUTLET vacuum medical, wall/trunking mounted",,1,,1,1,,
AI033,CT Scan,OUT9480,"OUTLET gas scavenging medical (AGS), wall/trunking mounted",,1,,1,1,,
AI033,CT Scan,PAT9000,"PAT SLIDE, wall mounted",,1,300,3,3,,
AI033,CT Scan,RAC196,"RACK, x-ray lead apron, 5 hangers hinged, wall mounted",,1,270,2,2.3,,
AI033,CT Scan,SCR064,"SCREEN, x-ray radiation protection, lead rubber, mobile, 900H 700L, lead equivalent 0.5mm Pb.",,1,2800,3,3,,
AI033,CT Scan,STF9000,"STORAGE UNIT, lower, cupboard, 1 door, 1 shelf, right handed, 865H 600W 565D",,2,240,1,1,,
AI033,CT Scan,STF9001,"STORAGE UNIT, lower, cupboard, 1 door, 1 shelf, left handed, 865H 600W 565D",,2,240,1,1,,
AI033,CT Scan,SYR9000,"SYRINGE INJECTOR, ceiling mounted, automatic, single",,1,24000,2,2.3,,
AI033,CT Scan,WOR6024,"WORKTOP, 2400W 600D",,1,,1,1,,
AI033,CT Scan,ANA004,"ANAESTHETIC MACHINE/WORKSTATION with ventilator, with accessories, mobile, 1580H 565W 695D",,1,30000,3,3,,
AI033,CT Scan,SUC005,"SUCTION UNIT, electric, mobile, 845H 470W 410D",,1,750,3,3,,
AI065,MRI Scan,CAM034,"CAMERA, CCTV, wide angle, pan/tilt/zoom, wall or ceiling mounted",CAM-02,1,800,2,2.3,,
AI065,MRI Scan,OUT056,"CONNECTION UNIT, unswitched, 13 amp",CAM-02,1,190,1,1,,
AI065,MRI Scan,OUT207,"SOCKET outlet aerial television, closed circuit (CCTV), wall mounted",CAM-02,1,300,1,1,,
AI065,MRI Scan,INT9002,"INTERCOM unit, wall mounted, hands free",INT-01,1,250,1,1,,
AI065,MRI Scan,OUT210,"SOCKET outlet two-way communication system (intercom), wall mounted",INT-01,1,0,1,1,,
AI065,MRI Scan,LIG074,"ILLUMINATED SIGN ""DO NOT ENTER""",LIG-03,1,264,1,1,,
AI065,MRI Scan,OUT056,"CONNECTION UNIT, unswitched, 13 amp",LIG-03,1,190,1,1,,
AI065,MRI Scan,LIG073,"ILLUMINATED SIGN, 'Room in use'",LIG-11,1,264,1,1,,
AI065,MRI Scan,OUT056,"CONNECTION UNIT, unswitched, 13 amp",LIG-11,1,190,1,1,,
AI065,MRI Scan,ANA007,"ANAESTHETIC MACHINE/WORKSTATION, MRI compatible, supplied complete with trolley, shelf, ventilator with breathing circuit and 1 x vaporiser",,1,35000,3,3,,
AI065,MRI Scan,CAL035,"LAMP repeat call (patient/staff or staff emergency or Cardiac call), ceiling mounted",,1,0,1,1,,
AI065,MRI Scan,CAL9007,"PUSH BUTTON staff emergency call, reset and integral/adjacent indicator lamp, wall/trunking mounted",,1,0,1,1,,
AI065,MRI Scan,CHA9017,"CHAIR, MRI compatible",,1,80,3,3,,
AI065,MRI Scan,CUP9006,"CUPBOARD UNIT, non-ferrous, open, 3 adjustable shelf, on plinth, 850H 1000W 650D",,1,600,1,1,,
AI065,MRI Scan,CUP9007,"CUPBOARD/DRAWER UNIT, non-ferrous, 2 drawer, 1 adjustable shelf, on plinth, 850H 1000W 650D",,1,650,1,1,,
AI065,MRI Scan,IMG9021,"MRI, 1.5T, Closed bore",,1,950000,2,2.1,,
AI065,MRI Scan,IMG9021G,"RF FILTER, Wall/Floor mounted",,1,0,2,2.1,,
AI065,MRI Scan,LIG9007,"LIGHT, minor surgery, MRI compatible, 50,000 lux, mobile",,1,3700,3,3,,
AI065,MRI Scan,MON051,"MONITOR, patient, MR compatible, vital signs, multi-parameter, includes pulse oximeter, 280H 360W 215D",,1,73000,3,3,,
AI065,MRI Scan,MON9008,"MONITOR, room oxygen levels, MRI compatible",,1,3000,2,2.3,,
AI065,MRI Scan,OUT9010,"SOCKET outlet switched 13amp twin, wall/trunking mounted",,3,,1,1,,
AI065,MRI Scan,OUT9453,"OUTLET 4 kPa compressed air medical, wall/trunking mounted",,1,,1,1,,
AI065,MRI Scan,OUT9461,"OUTLET nitrous oxide medical, wall/trunking mounted",,1,,1,1,,
AI065,MRI Scan,OUT9470,"OUTLET oxygen medical, wall/trunking mounted",,1,,1,1,,
